sku,field,ua_or_diff,ru_or_bad,url
2089875101,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1566 len(RU)=1581,https://labresta.com.ua/vitryna-kholodylna-juka-fgl260-restailinh/
2089896893,descr_full,div: UA=0/RU=1; span: UA=0/RU=1; strong: UA=3/RU=1,len(UA)=1537 len(RU)=1551,https://labresta.com.ua/vitryna-kholodylna-juka-fgl130a-restailinh/
2089908363,descr_full,div: UA=0/RU=1; span: UA=0/RU=1; strong: UA=3/RU=1,len(UA)=1550 len(RU)=1559,https://labresta.com.ua/vitryna-kholodylna-juka-fgl260a-restailinh/
2089912382,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1717 len(RU)=1765,https://labresta.com.ua/vitryna-kholodylna-juka-fdi-160a/
2089923193,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1960 len(RU)=1984,https://labresta.com.ua/vitryna-kholodylna-juka-fdi-e/
2123668327,descr_full,br: UA=0/RU=1; p: UA=6/RU=5,len(UA)=1075 len(RU)=1116,https://labresta.com.ua/skrynia-morozylna-ubc-aurora-205-l/
2124548074,descr_full,br: UA=0/RU=2; p: UA=7/RU=5,len(UA)=1076 len(RU)=1114,https://labresta.com.ua/skrynia-morozylna-ubc-legend-405-l/
2124551780,descr_full,br: UA=0/RU=1; p: UA=7/RU=6,len(UA)=1075 len(RU)=1113,https://labresta.com.ua/skrynia-morozylna-ubc-king-550-l/
2125036710,descr_full,br: UA=0/RU=1; p: UA=6/RU=5,len(UA)=1000 len(RU)=1039,https://labresta.com.ua/skrynia-morozylna-ubc-prima-340-l-priame-sklo/
2154294348,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=959 len(RU)=963,https://labresta.com.ua/vitryna-kholodylna-ubc-nika-1.0/
2154316540,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=972 len(RU)=977,https://labresta.com.ua/vitryna-kholodylna-ubc-nika-1.25/
2154322295,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=972 len(RU)=977,https://labresta.com.ua/vitryna-kholodylna-ubc-nika-1.5/
2154327039,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=972 len(RU)=977,https://labresta.com.ua/vitryna-kholodylna-ubc-nika-1.75/
2154330599,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=971 len(RU)=976,https://labresta.com.ua/vitryna-kholodylna-ubc-nika-2.0/
2159444026,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1851 len(RU)=1877,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-1.0/
2159449432,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1852 len(RU)=1878,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-1.25/
2159452033,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1853 len(RU)=1879,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-1.5/
2159454500,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1853 len(RU)=1879,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-1.75/
2159468501,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1852 len(RU)=1878,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-2.0/
2159475064,descr_full,div: UA=0/RU=1; p: UA=8/RU=9; span: UA=0/RU=1; strong: UA=5/RU=3,len(UA)=1850 len(RU)=1878,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-2.5/
2164870858,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=786 len(RU)=807,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-1.0-modul/
